mode,sample,label,level_numeric,n_reads,ref_len,n_sites_used,mean_depth,mean_shannon,mean_norm_shannon,mean_pi,n_variable_sites_1pct,n_variable_sites_2pct,n_variable_sites_5pct,n_variable_sites_20pct
percent,barcode86,1pct,1.0,304,1153,1132,269.85335689045934,0.09088633561716958,0.011341115353034786,0.027994252683176523,303,151,62,18
percent,barcode86,20pct,20.0,6069,1153,1153,5292.909800520381,0.08936088056212613,0.007419837883542659,0.025799824868930354,244,135,51,18
percent,barcode86,2pct,2.0,575,1153,1136,508.6892605633803,0.08530167912664914,0.009563951471252973,0.025454093800746473,245,138,51,19
percent,barcode86,40pct,40.0,12072,1153,1153,10508.414570685169,0.08963763755529527,0.00687392229512163,0.025775613683237927,245,132,52,18
percent,barcode86,5pct,5.0,1491,1153,1153,1302.5828274067649,0.08640810548252685,0.008703289246537578,0.025398315003976414,233,133,55,18
percent,barcode87,0p5pct,0.5,210,1176,1138,178.7108963093146,0.08948227250675772,0.011980059154695116,0.027520922635121254,344,176,63,9
percent,barcode87,10pct,10.0,4189,1176,1175,3502.141276595745,0.09009891186324576,0.00808835741164598,0.025218234893436855,267,136,48,9
percent,barcode87,1pct,1.0,409,1176,1175,338.46382978723403,0.08849007940202003,0.011870499535513074,0.02728836607475199,273,153,62,14
percent,barcode87,20pct,20.0,8286,1176,1175,6932.988085106383,0.09095336033704114,0.0075829597288913945,0.025385249495707165,254,134,48,9
percent,barcode87,2pct,2.0,835,1176,1175,694.3055319148937,0.08635537655252333,0.009523203038414047,0.02499814790012668,253,142,51,11
percent,barcode87,40pct,40.0,16436,1176,1175,13755.375319148936,0.09208102170913204,0.007113017078784884,0.02563119713382977,262,136,51,9
percent,barcode87,5pct,5.0,2123,1176,1175,1778.3046808510637,0.08914811925735878,0.008775487210082164,0.02518100323229105,265,146,51,9
percent,barcode88,0p5pct,0.5,158,1129,1129,138.63596102745794,0.08718178111338186,0.01229970969846268,0.027870612555363303,278,164,64,22
percent,barcode88,10pct,10.0,3245,1129,1129,2795.364924712135,0.09515134517586377,0.008342854704589198,0.02765983966828261,236,145,61,14
percent,barcode88,1pct,1.0,323,1129,1129,276.85119574845,0.089653536873978,0.01106185130073354,0.02747765081495928,258,150,58,13
percent,barcode88,20pct,20.0,6328,1129,1129,5454.998228520815,0.09484964952317161,0.007671679738332223,0.02746506002065548,229,144,61,14
percent,barcode88,2pct,2.0,632,1129,1129,543.74047829938,0.08929198868854091,0.009852331307037209,0.02672122635477413,241,139,48,16
percent,barcode88,40pct,40.0,12715,1129,1129,10965.875996457042,0.09291832144486255,0.0069489516805134,0.026755362400557318,222,140,60,13
percent,barcode88,5pct,5.0,1596,1129,1129,1372.9406554472985,0.09638982329674393,0.009288379348761084,0.02820198449501237,240,153,65,13
percent,barcode89,0p5pct,0.5,62,1180,1175,47.15829787234043,0.11784367618008693,0.023326505269716198,0.04339685400253517,448,305,152,21
percent,barcode89,10pct,10.0,983,1180,1180,757.0330508474576,0.18065325391229256,0.02070946691261536,0.06175966097578604,462,350,192,51
percent,barcode89,1pct,1.0,122,1180,1180,92.90677966101696,0.13500387354484708,0.022874757928855547,0.04774110714775747,462,288,160,25
percent,barcode89,20pct,20.0,1981,1180,1180,1542.3576271186441,0.17648609737003224,0.018045687988545688,0.05903693119631599,461,339,181,45
percent,barcode89,2pct,2.0,200,1180,1180,155.1542372881356,0.16530792696307126,0.02520233651032064,0.05829460896386567,492,333,185,43
